Title,Year
The Marathon Family,1982
A Few Good Men,1992
The Chaos Class,1975
Bound,1996
Estômago: A Gastronomic Story,2007
The Fly,1986
Bringing Up Baby,1938
Isle of Dogs,2018
Colossal Youth,2006
Himala,1982
La Promesse,1996
Cleaners,2019
Exiled,2006
The World of Us,2016
Sullivan's Travels,1941
The Promised Land,1975
Walkabout,1971
Punch-Drunk Love,2002
Another Year,2010
Tux and Fanny,2019
The Silence,1963
Inherit the Wind,1960
Postmen in the Mountains,1999
Stray Dog,1949
What Happened Was...,1994
Christ Stopped at Eboli,1979
Super Deluxe,2019
Lupin the Third: The Castle of Cagliostro,1979
The Manchurian Candidate,1962
The Hole,1998
The Ballad of Narayama,1958
The Passenger,1975
The Hourglass Sanatorium,1973
The Batman,2022
"Bound for the Fields, the Mountains, and the Seacoast",1986
Travolta and Me,1993
Chimes at Midnight,1965
"I Was Born, But...",1932
Training Day,2001
Tale of the Three Jewels,1995
Guillermo del Toro's Pinocchio,2022
Out of the Blue,1980
Red River,1948
Big Deal on Madonna Street,1958
The Bridge of Arts,2004
Flow,2024
"Goodbye, Dragon Inn",2003
Atonement,2007
Papillon,1973
Mobile Suit Gundam: The Origin III - Dawn of Rebellion,2016
Peking Opera Blues,1986
L'Atalante,1934
Peppermint Candy,1999
Top Gun: Maverick,2022
Miss Lonely,1985
A Town Called Panic,2009
Lucky Star,1929
Manon of the Spring,1986
S. Bernardo,1972
Saving Face,2004
Sympathy for Mr. Vengeance,2002
Knives Out,2019
Night on Earth,1991
Drishyam,2013
The Wailing,2016
Ex Machina,2015
L'Eclisse,1962
Francisca,1981
Rebels of the Neon God,1992
The Exorcist,1973
Lisbela and the Prisoner,2003
The Blues Brothers,1980
Sicario,2015
Tomboy,2011
Girl with Hyacinths,1950
The Wife of an Important Man,1987
Kiss Me Deadly,1955
Misunderstood,1966
Life of Brian,1979
Ibrahim El-Abyad,2009
Misery,1990
Yoyo,1965
Dallas Buyers Club,2013
God's Own Country,2017
Donnie Darko,2001
"Lock, Stock and Two Smoking Barrels",1998
A Confucian Confusion,1994
The Cow,1969
A Beginning and an Ending,1960
Bride of Frankenstein,1935
"Khrustalyov, My Car!",1998
Badass beatdown,2020
High Noon,1952
School on Fire,1988
Nowhere,1997
The Last Command,1928
The Hypothesis of the Stolen Painting,1978
Trenque Lauquen,2022
The Adventures of Prince Achmed,1926
The Long Gray Line,1955
Columbus,2017
The Big Country,1958
The Pied Piper,1986
The Rider,2017
The Very Same Munchhausen,1979
Miracle in Cell No. 7,2013
Lightning,1952
Devi,1960
Le Deuxième Souffle,1966
Simon of the Desert,1965
Hanagatami,2017
Decision to Leave,2022
Mystery Train,1989
Harry Potter and the Deathly Hallows: Part 2,2011
Avengers: Infinity War,2018
Happening,2021
Loving Vincent,2017
Legend of the Mountain,1979
Silence,2016
Room,2015
Revanche,2008
Made in Abyss: Dawn of the Deep Soul,2020
Shaun of the Dead,2004
The Case of the Naves Brothers,1967
"Basic Sanitation, the Movie",2007
One Million Yen Girl,2008
Microhabitat,2017
The Big Sleep,1946
Ford v Ferrari,2019
Close Your Eyes,2023
Hero,2002
Never Rarely Sometimes Always,2020
Garden of War,1968
The Roaring Twenties,1939
On-Gaku: Our Sound,2019
The Ballad of Narayama,1983
Manjummel Boys,2024
Chizuko's Younger Sister,1991
The Bad and the Beautiful,1952
Profound Desires of the Gods,1968
The Wishing Tree,1976
The Lost Weekend,1945
Platoon,1986
The Son,2002
Hellzapoppin',1941
I Vitelloni,1953
Anantaram,1987
Dawn of the Dead,1978
Great Freedom,2021
Philanthropy,2002
Safe,1995
Stagecoach,1939
The Chorus,2004
The Chaser,2008
"Léon Morin, Priest",1961
BPM (Beats per Minute),2017
Real Women Have Curves,2002
The Wicker Man,1973
Mission: Impossible – Fallout,2018
Hereditary,2018
Sardar Udham,2021
Seven Beauties,1975
Train to Busan,2016
"You, the Living",2007
Targets,1968
Vengeance Is Mine,1984
The Phantom of Liberty,1974
The Legend of 1900,1998
Fate/stay night: Heaven's Feel III. Spring Song,2020
The Gunfighter,1950
The Purple Rose of Cairo,1985
Night of the Living Dead,1968
Mahjong,1996
Vaaranam Aayiram,2008
Guardians of the Galaxy Vol. 3,2023
Happiness,1998
Drifting Clouds,1996
Kung Fu Hustle,2004
Running on Empty,1988
Blind Chance,1987
"Dr. Mabuse, the Gambler",1922
Little Forest: Winter/Spring,2015
Manichitrathazhu,1993
Waves,2024
9 Souls,2003
The Red and the White,1967
The Nightmare Before Christmas,1993
The Nun,1966
The King and the Mockingbird,1980
The Plague Dogs,1982
Monsieur Verdoux,1947
Challengers,2024
The Eccentrics,1974
The Hateful Eight,2015
Three Crowns of the Sailor,1983
Why Don't You Play in Hell?,2013
Farewell to the Ark,1984
The End of Summer,1961
Harvey,1950
I... For Icarus,1979
The Dupes,1972
Tangled,2010
Gang of Four,1989
Jaws,1975
Beijing Watermelon,1989
Aquarius,2016
I Knew Her Well,1965
Carriage to Vienna,1966
American Beauty,1999
Spies Are Forever,2016
Home from Home – Chronicle of a Vision,2013
The House,1997
City Girl,1930
Mimino,1977
Shadow of a Doubt,1943
Memories,1995
Trial on the Road,1986
The Thin Man,1934
The Professional,2003
Moolaadé,2004
"Batman: The Dark Knight Returns, Part 2",2013
Kaos,1984
Nebraska,2013
Toni Erdmann,2016
System Crasher,2019
"Argentina, 1985",2022
La boca del lobo,1988
"Rosa la Rose, Public Girl",1986
Kids Return,1996
20th Century Girl,2022
Alice,1988
Little Forest: Summer/Autumn,2014
The Fool,2014
Day of the Wacko,2002
The Wizard of Oz,1939
The Official Story,1985
The Lady Eve,1941
Barber Westchester,2021
Ghostlight,2024
Suzhou River,2000
The Story of Marie and Julien,2003
Treasure Island,1989
Chess of the Wind,1976
The Executioner,1963
Story of Women,1988
Breaker Morant,1980
When the Wind Blows,1986
Laid-Back Camp the Movie,2022
Él,1953
Martin (Hache),1997
Who Framed Roger Rabbit,1988
The Little Girl Who Sold the Sun,1999
Uncut Gems,2019
A Fistful of Dollars,1964
Barefoot Gen,1983
Postman Blues,1997
The Muppet Christmas Carol,1992
Withnail & I,1987
Elite Squad,2007
Evangelion: 2.0 You Can (Not) Advance,2009
Mother and Son,1997
The Mirror,1997
Crossing,2024
The Taste of Things,2023
Heroic Purgatory,1970
The Truth,1960
Foreign Land,1995
Green Border,2023
The Boy and the Heron,2023
Jigarthanda DoubleX,2023
Pickpocket,1959
35 Shots of Rum,2008
Barbie in The 12 Dancing Princesses,2006
Mukhsin,2006
Doctor Zhivago,1965
This Is Spinal Tap,1984
Master and Commander: The Far Side of the World,2003
Comet in Moominland,1992
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,1988
Sorry We Missed You,2019
Alexander the Great,1980
El Infierno,2010
The Holy Innocents,1984
BlacKkKlansman,2018
He Who Gets Slapped,1924
Awaara,1951
Holiday,1938
Fury,1936
Nimona,2023
Vortex,2021
Blue Spring,2001
Mother Joan of the Angels,1961
"O Brother, Where Art Thou?",2000
Once Were Warriors,1994
Scarlet Street,1945
West Side Avenue,2001
Soodhu Kavvum,2013
Election 2,2006
Exotica,1994
The Social Network,2010
On Probation,2005
The Plea,1967
The Searchers,1956
Maheshinte Prathikaaram,2016
Invasion of the Body Snatchers,1978
Premam,2015
Like Stars on Earth,2007
Beginners,2010
Chithha,2023
West Beirut,1998
Girls of the Night,1961
TÁR,2022
Innocence,1997
The Man Without a Past,2002
The Round-Up,1966
An Adventure in Space and Time,2013
The Monkey King: Havoc in Heaven,1961
True Romance,1993
Floating Clouds,1955
Jules and Jim,1962
"Welcome, or No Trespassing",1964
Humanity and Paper Balloons,1937
Soulmate,2023
The Remains of the Day,1993
Captain Khorshid,1987
"Lust, Caution",2007
Pusher II,2004
Weekend,2011
The Postman,1994
By the Law,1926
Ferris Bueller's Day Off,1986
The Perks of Being a Wallflower,2012
Berserk: The Golden Age Arc III – The Advent,2013
The Great Indian Kitchen,2021
Sound and Fury,1988
Funny Games,1997
Panic,1946
Vengeance Is Mine,1979
"When I Grow Up, I'll Be a Kangaroo",2004
Mars Express,2023
Suspiria,1977
La Vie de Bohème,1992
Jersey,2019
Martha,1974
The Wind That Shakes the Barley,2006
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020
Kaili Blues,2015
July Rain,1967
The Match Factory Girl,1990
Killer of Sheep,1978
Confessions,2010
Kirikou and the Sorceress,1998
The Substance,2024
Bad Education,2004
Bigger Than Life,1956
Braindead,1992
I-Be Area,2007
La Roue,1923
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Breaking Away,1979
Ivan Vasilyevich Changes His Profession,1973
Days and Nights in the Forest,1970
Junk Head,2017
Bring Me the Head of Alfredo Garcia,1974
Something Useful,2017
Ninotchka,1939
Three of Us,2022
Red Dawn,1990
A Tree Grows in Brooklyn,1945
Still Life,2006
The Temptation of St. Tony,2009
Boy & the World,2013
The Promised Land,2023
Soul,2020
The Woman Who Invented Love,1980
Tabu,2012
Dust in the Wind,1986
Glengarry Glen Ross,1992
Bound by Honor,1993
Divorce Italian Style,1961
The Lusty Men,1952
Sarpatta Parambarai,2021
Freaks,1932
Scum,1979
My Man Godfrey,1936
Silent Light,2007
A Man and a Woman,1966
Don't Look Now... We're Being Shot At!,1966
Days of Santiago,2004
Toy Story 2,1999
Ball of Fire,1941
Heart of a Dog,1988
Beasts of No Nation,2015
The Working Class Goes to Heaven,1971
All of Us Strangers,2023
Beautiful Boy,2018
Arsenic and Old Lace,1944
Dazed and Confused,1993
"One, Two, Three",1961
Brainstorm,2000
After the Storm,2016
Port of Shadows,1938
Mughal-e-Azam,1960
The Adventures of Goopy and Bagha,1969
Radical,2023
Kubo and the Two Strings,2016
Cemetery of Splendor,2015
Jujutsu Kaisen 0,2021
Eyes Without a Face,1960
Aaranya Kaandam,2011
Drive,2011
The Road,1982
Barbie as The Princess & the Pauper,2004
Rocks,2019
Lola Montès,1955
The Innocent,1986
The Silences of the Palace,1994
Sexy Beast,2000
Bleak Night,2010
Goyokin,1969
Leave Her to Heaven,1945
Only Yesterday,1991
Mauvais Sang,1986
Double Suicide,1969
Rosetta,1999
The Joy Luck Club,1993
A Cottage on Dartmoor,1929
Victoria,2015
Pickup on South Street,1953
Dilwale Dulhania Le Jayenge,1995
Breathless,1960
The Passion of Anna,1969
Four Nights of a Dreamer,1971
Duck Soup,1933
Urusei Yatsura: Beautiful Dreamer,1984
The Heartbreak Kid,1972
Star Trek II: The Wrath of Khan,1982
Long Day's Journey into Night,2018
Fruitvale Station,2013
Ever After High: Way Too Wonderland,2015
Masked Conspiracy,2023
Tatami,2023
If Beale Street Could Talk,2018
Help,2021
Dinner in America,2020
Red Angel,1966
Closely Watched Trains,1966
Fish Story,2009
Kireedam,1989
Center Stage,1991
H-8...,1958
Horse Money,2014
Marius,1931
Le Plaisir,1952
Hacksaw Ridge,2016
The Enigma of Kaspar Hauser,1974
The Maltese Falcon,1941
The Founder of Diabolism,2018
Hell or High Water,2016
The Day of the Jackal,1973
The Miracle Worker,1962
Captain Fantastic,2016
Birds of Passage,2018
The Dawns Here Are Quiet,1972
What the Day Owes the Night,2012
Black Friday,2004
Nazarin,1959
Victim,1961
Om Shanti Om,2007
Bad Day at Black Rock,1955
The Bitter Stems,1956
Courier,1986
Woman of the Lake,1966
Distant,2002
Racket Slingers,2018
Chicago,2002
The Desert of the Tartars,1976
John Wick: Chapter 4,2023
Sleep Has Her House,2017
Night Train,1959
Hope,1970
The Man Who Copied,2003
Assa,1987
Le Doulos,1962
C.R.A.Z.Y.,2005
Donkey Skin,1970
The Man Who Wasn't There,2001
"No Way, Spider",1970
Agatha and the Limitless Readings,1981
One Way or Another,1976
Johnny Got His Gun,1971
Vera Drake,2004
Ludwig,1973
Doubt,2008
Boy,1969
Survive Style 5+,2004
A New Leaf,1971
The Fiancés,1963
The Pawnbroker,1964
The Pinchcliffe Grand Prix,1975
A Sun,2019
The Big Parade,1925
Gun Crazy,1950
Love at Sea,1965
The Devil's Trap,1962
The Color of Paradise,1999
Irma Vep,1996
Ip Man,2008
Earth Light,1970
Faces,1968
Letters from Iwo Jima,2006
General Della Rovere,1959
The Killing Fields,1984
Philadelphia,1993
RoboCop,1987
Fanny,1932
Moonlit Winter,2019
Gertrud,1964
Seduced and Abandoned,1964
Fragile as the World,2001
Sacco & Vanzetti,1971
Perfumed Nightmare,1977
Repulsion,1965
A Summer at Grandpa's,1984
A Place in the Sun,1951
The Counterfeit Coin,1955
Labour of Love,2014
Sling Blade,1996
Angels with Dirty Faces,1938
Summer 1993,2017
Himizu,2011
The Long Good Friday,1980
Uncle Boonmee Who Can Recall His Past Lives,2010
Where's Firuze?,2004
I Wish,2011
"Ivan the Terrible, Part I",1944
Straight Time,1978
"Merry Christmas, Mr. Lawrence",1983
Life Is Sweet,1990
My Girl,2003
Road,1987
The Ear,1970
The Falls,1980
Goodbye Julia,2023
Drowning by Numbers,1988
Serpico,1973
Paisan,1946
The Stranger,1991
Uptight,1968
The Last Temptation of Christ,1988
Beauty and the Beast,1978
Huddersfield,2007
Wooden Crosses,1932
Do Not Expect Too Much from the End of the World,2023
The Banishment,2007
Batman: Under the Red Hood,2010
Center Jenny,2013
Elite Squad: The Enemy Within,2010
Children of the Beehive,1948
Awakenings,1990
Female Trouble,1974
Labyrinth of Dreams,1997
Hit the Road,2021
Cape Fear,1962
Deep Red,1975
"Girl, Interrupted",1999
Pigs and Battleships,1961
You Can Count on Me,2000
Bless Their Little Hearts,1983
Digimon Adventure: Our War Game,2000
A Time to Love and a Time to Die,1958
Magical Girl,2014
My Little Loves,1974
The Last Detail,1973
A Muppet Family Christmas,1987
The Irishman,2019
The Spook Who Sat by the Door,1973
Everybody's Fine,1990
An Englishman's Home,1940
Escape from the Newsroom,2002
House of Tolerance,2011
The Guilty,2018
Skyfall,2012
Drunken Master II,1994
"Mary Is Happy, Mary Is Happy.",2013
Point Blank,1967
My Sweet Orange Tree,2013
The Bus Driver,1982
Sphinctre,2024
Holy Motors,2012
Slumdog Millionaire,2008
Midnight,1939
A Patch of Blue,1965
Missing,1982
Melvik,2016
Bonnie and Clyde,1967
A Night to Remember,1958
Funny Girl,1968
Band of Outsiders,1964
The Deceased,1965
The Puppetmaster,1993
Never Look Away,2018
The Fugitive,1993
The Great Buddha+,2017
The School of Mischief,1973
Ghilli,2004
Flowers of Shanghai,1998
From the Clouds to the Resistance,1979
Zindagi Na Milegi Dobara,2011
Girlfriends,1978
Asuran,2019
Veronika Voss,1982
Mixed Signals,2023
My American Uncle,1980
Seven Chances,1925
A Geisha,1953
Dangal,2016
Blissfully Yours,2002
The Way He Looks,2014
Margaret,2011
Beyond the Infinite Two Minutes,2020
Entranced Earth,1967
Bacurau,2019
California Split,1974
Ocean's Eleven,2001
Death of a Bureaucrat,1966
Office Romance,1977
"Dawn Breaks, Which Is No Small Thing",1989
Burning Days,2022
The Friends of Eddie Coyle,1973
The Pursuit of Happyness,2006
The Mouth Agape,1974
The River,1997
My Left Foot: The Story of Christy Brown,1989
"Now, Voyager",1942
The Amulet of Ogum,1974
Benilde or the Virgin Mother,1975
Reflections of a Blender,2010
Stolen Kisses,1968
Blood Simple,1984
"The Adventures of Priscilla, Queen of the Desert",1994
Last Life in the Universe,2003
A New Old Play,2021
The Garden of Sinners: A Study in Murder (Part 2),2009
Detective Conan: The Phantom of Baker Street,2002
99 Miles Till LA,2023
The Man That Was Turned Into Juice,1980
"Duck, You Sucker",1971
Small Change,1976
Design for Living,1933
Willow and Wind,1999
The Red Light Bandit,1968
The Last Emperor,1987
Stars in My Crown,1950
Cluny Brown,1946
Labyrinth of Cinema,2019
Simón,2023
Aadukalam,2011
Cardcaptor Sakura: The Sealed Card,2000
Bandits of Orgosolo,1961
Big Fish,2003
To Have and Have Not,1944
Odd Man Out,1947
Assault on the Pay Train,1962
The Breaking Point,1950
Caro diario,1993
Hill of No Return,1992
"No Love, Deep Web",2024
The Tale of the Fox,1937
The Invisible Guest,2016
Rushmore,1998
Harmonica,1974
Primal Fear,1996
Mathilukal,1990
Bad Black,2016
Kizumonogatari Part 1: Tekketsu,2016
Fantasia,1940
El Norte,1983
Diamonds of the Night,1964
Born in Flames,1983
My Cousin Vinny,1992
A Single Man,2009
History Is Made at Night,1937
The Skeleton of Mrs. Morales,1960
Pedicab Driver,1989
Fate of a Man,1959
Wait Until Dark,1967
Dead Man,1995
Mary Poppins,1964
Until the End of the World,1991
Christmas in August,1998
Moneyball,2011
Spider-Man 2,2004
"To Wong Foo, Thanks for Everything! Julie Newmar",1995
Deep Cover,1992
Mayabazar,1957
Manhattan,1979
"Birds, Orphans and Fools",1969
La Ronde,1950
Mr. Muhsin,1987
Mobile Suit Gundam: The Origin V: Clash at Loum,2017
Chocolate Babies,1996
Die Tomorrow,2017
The Edge of Heaven,2007
Mobile Suit Gundam: The Origin VI – Rise of the Red Comet,2018
Theorem,1968
The Lady Vanishes,1938
Wendy and Lucy,2008
Viduthalai: Part I,2023
The Color Purple,1985
Control,2007
The Mission,1999
There Was a Father,1942
The Middleman,1975
Barbie: Princess Charm School,2011
High Hopes,1988
"Two Days, One Night",2014
Truth and Justice,2019
A Wife Confesses,1961
Brand Upon the Brain!,2006
Five Easy Pieces,1970
Wagon Master,1950
A Time for Drunken Horses,2000
A Heart in Winter,1992
3:10 to Yuma,1957
Waiting for the Hearse,1985
The Emperor's New Groove,2000
Three Outlaw Samurai,1964
Sinners in the Hands of an Angry God,2024
Behind the Sun,2001
Confidence,1980
I Do Not Care If We Go Down in History as Barbarians,2018
Cat on a Hot Tin Roof,1958
Boro in the Box,2011
Requiem for a Heavyweight,1962
First Cow,2019
Sieranevada,2016
Paterson,2016
Limbo,2020
A Bittersweet Life,2005
IPAD KID,2024
Omkara,2006
Flowing,1956
The Killing of a Chinese Bookie,1976
Suzaku,1997
Love Torn in Dreams,2000
Mad Max 2,1981
Duel to the Death,1983
Dangerous Encounters of the First Kind,1980
To Sleep with Anger,1990
96,2018
The White Balloon,1995
Lost,2004
